,Unnamed: 0,Line,English name,Russian name,Coordinates,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,0,1,Bulvar Rokossovskogo,Бульвар Рокоссовского,"55.8148,37.7342",0.03816793893129771,0.07291666666666666,0.03319502074688796,0.039735099337748346,0.0898876404494382,0.23958333333333331,0.08333333333333333,0.271356783919598,0.06521739130434781
1,1,1,Cherkizovskaya,Черкизовская,"55.8038,37.7448",0.03816793893129771,0.24999999999999997,0.03734439834024897,0.026490066225165563,0.20224719101123595,0.19791666666666666,0.09722222222222221,0.17587939698492464,0.07608695652173914
2,2,1,Preobrazhenskaya Ploshchad,Преображенская площадь,"55.7963,37.7151",0.09923664122137404,0.26041666666666663,0.11618257261410787,0.033112582781456956,0.3370786516853932,0.5729166666666666,0.29166666666666663,0.40201005025125625,0.11956521739130435
3,3,1,Sokolniki,Сокольники,"55.7888,37.6802",0.12213740458015267,0.19791666666666666,0.21991701244813278,0.08609271523178808,0.4719101123595505,0.46875,0.375,0.40201005025125625,0.16304347826086954
4,4,1,Krasnoselskaya,Красносельская,"55.7801,37.6673",0.23664122137404578,0.24999999999999997,0.43153526970954353,0.18543046357615894,0.2696629213483146,0.6979166666666666,0.3194444444444444,0.4522613065326633,0.7282608695652173
5,5,1,Komsomolskaya,Комсомольская,"55.7753,37.6562",0.2213740458015267,0.3333333333333333,0.36099585062240663,0.12582781456953643,0.4044943820224719,0.78125,0.3333333333333333,0.3969849246231156,0.9130434782608695
6,6,1,Krasnye Vorota,Красные ворота,"55.7690,37.6487",0.3969465648854962,0.4895833333333333,0.43983402489626555,0.25165562913907286,0.6067415730337078,0.9166666666666666,0.3472222222222222,0.5728643216080402,0.7826086956521738
7,7,1,Chistyye Prudy,Чистые пруды,"55.7657,37.6388",0.5114503816793893,0.5520833333333334,0.8008298755186722,0.8211920529801324,0.6629213483146067,0.9322916666666666,0.4583333333333333,0.6884422110552764,0.7608695652173912
8,8,1,Lubyanka,Лубянка,"55.7597,37.6272",0.8091603053435115,0.6666666666666666,1.0,1.0,1.0,0.9739583333333333,0.2777777777777778,0.9999999999999999,0.9999999999999999
9,9,1,Okhotny Ryad,Охотный ряд,"55.7577,37.6166",0.916030534351145,0.8541666666666666,0.6307053941908715,0.5695364238410596,1.0,0.9895833333333333,0.2638888888888889,0.9949748743718593,0.826086956521739
10,10,1,Biblioteka Imeni Lenina,Библиотека имени Ленина,"55.7512,37.6100",0.8396946564885496,0.7291666666666666,0.5269709543568465,0.2847682119205298,0.7303370786516854,0.8489583333333333,0.4305555555555555,0.7185929648241206,0.6739130434782609
11,11,1,Kropotkinskaya,Кропоткинская,"55.7453,37.6037",0.6793893129770993,0.53125,0.5560165975103735,0.31788079470198677,0.7528089887640449,0.8802083333333333,0.5555555555555556,0.4824120603015075,0.5217391304347826
12,12,1,Park Kultury,Парк культуры,"55.7356,37.5943",0.38167938931297707,0.625,0.37344398340248963,0.1456953642384106,0.6404494382022472,0.6614583333333333,0.5972222222222222,0.4422110552763819,0.4565217391304348
13,13,1,Frunzenskaya,Фрунзенская,"55.7267,37.5786",0.19083969465648853,0.7291666666666666,0.2821576763485477,0.08609271523178808,0.449438202247191,0.609375,0.6805555555555555,0.5376884422110553,0.22826086956521738
14,14,1,Sportivnaya,Спортивная,"55.7233,37.5639",0.11450381679389313,0.47916666666666663,0.2033195020746888,0.059602649006622516,0.5280898876404494,0.5572916666666666,0.41666666666666663,0.37688442211055273,0.15217391304347824
15,15,1,Vorobyovy Gory,Воробьёвы горы,"55.7103,37.5592",0.030534351145038167,0.15625,0.12033195020746888,0.046357615894039736,0.5730337078651685,0.26041666666666663,0.09722222222222221,0.06532663316582915,0.14130434782608695
16,16,1,Universitet,Университет,"55.6926,37.5333",0.0916030534351145,0.8229166666666666,0.1701244813278008,0.026490066225165563,0.3370786516853932,0.359375,0.3333333333333333,0.5276381909547738,0.10869565217391303
17,17,1,Prospekt Vernadskogo,Проспект Вернадского,"55.6771,37.5060",0.030534351145038167,0.09374999999999999,0.12863070539419086,0.033112582781456956,0.23595505617977527,0.40104166666666663,0.5138888888888888,0.2814070351758794,0.09782608695652173
18,18,1,Yugo-Zapadnaya,Юго-Западная,"55.6637,37.4833",0.10687022900763359,0.8125,0.23651452282157676,0.039735099337748346,0.3707865168539326,0.40104166666666663,0.5833333333333333,0.39195979899497485,0.16304347826086954
19,19,1,Troparyovo,Тропарёво,"55.6459,37.4725",0.030534351145038167,0.14583333333333334,0.06224066390041494,0.033112582781456956,0.2584269662921348,0.29166666666666663,0.3194444444444444,0.19095477386934676,0.09782608695652173
20,20,1,Rumyantsevo,Румянцево,"55.6330,37.4419",0.015267175572519083,0.03125,0.14107883817427386,0.026490066225165563,0.02247191011235955,0.22395833333333331,0.013888888888888888,0.1407035175879397,0.05434782608695652
21,21,1,Salaryevo,Саларьево,"55.6227,37.4240",0.007633587786259542,0.0,0.004149377593360995,0.013245033112582781,0.0449438202247191,0.026041666666666664,0.0,0.03015075376884422,0.021739130434782608
22,22,2,Khovrino,Ховрино,"55.8791,37.4822",0.03816793893129771,0.07291666666666666,0.004149377593360995,0.019867549668874173,0.15730337078651685,0.09375,0.06944444444444445,0.08040201005025126,0.07608695652173914
23,23,2,Belomorskaya,Беломорская,"55.8658,37.4764",0.015267175572519083,0.32291666666666663,0.07053941908713693,0.046357615894039736,0.2696629213483146,0.2864583333333333,0.4444444444444444,0.271356783919598,0.15217391304347824
24,24,2,Rechnoy Vokzal,Речной вокзал,"55.8549,37.4761",0.04580152671755725,0.06249999999999999,0.1037344398340249,0.026490066225165563,0.21348314606741572,0.3177083333333333,0.19444444444444442,0.3618090452261306,0.28260869565217395
25,25,2,Vodny Stadion,Водный стадион,"55.8398,37.4867",0.061068702290076333,0.12499999999999999,0.17427385892116182,0.052980132450331126,0.2921348314606741,0.35416666666666663,0.2777777777777778,0.4371859296482412,0.13043478260869565
26,26,2,Voykovskaya,Войковская,"55.8190,37.4980",0.10687022900763359,0.5104166666666666,0.24481327800829872,0.039735099337748346,0.4606741573033708,0.5104166666666666,0.2361111111111111,0.7085427135678392,0.19565217391304346
27,27,2,Sokol,Сокол,"55.8051,37.5153",0.15267175572519084,0.44791666666666663,0.26141078838174275,0.13245033112582782,0.5168539325842696,0.49479166666666663,0.5,0.4472361809045226,0.23913043478260868
28,28,2,Aeroport,Аэропорт,"55.8003,37.5329",0.11450381679389313,0.6145833333333334,0.18672199170124482,0.046357615894039736,0.4831460674157303,0.6979166666666666,0.5138888888888888,0.4422110552763819,0.19565217391304346
29,29,2,Dinamo,Динамо,"55.7897,37.5580",0.09923664122137404,0.15625,0.17427385892116182,0.09933774834437085,0.3595505617977528,0.453125,0.4583333333333333,0.3316582914572864,0.17391304347826086
30,30,2,Belorusskaya,Белорусская,"55.7767,37.5835",0.38167938931297707,0.6875,0.5643153526970954,0.2847682119205298,0.4831460674157303,0.8697916666666666,0.7222222222222222,0.7035175879396984,0.6521739130434782
31,31,2,Mayakovskaya,Маяковская,"55.7701,37.5958",0.5725190839694656,0.5520833333333334,0.7966804979253113,0.7218543046357616,0.8202247191011236,0.8854166666666666,0.8055555555555555,0.7989949748743719,0.7391304347826086
32,32,2,Tverskaya,Тверская,"55.7647,37.6065",1.0,0.5520833333333334,0.7510373443983402,0.7947019867549668,0.9775280898876404,0.8385416666666666,0.6527777777777778,0.7989949748743719,0.9021739130434782
33,33,2,Teatralnaya,Театральная,"55.7578,37.6190",0.7786259541984732,0.8645833333333334,0.5809128630705395,0.5165562913907285,0.9438202247191011,0.84375,0.20833333333333331,0.8944723618090452,0.7934782608695652
34,34,2,Novokuznetskaya,Новокузнецкая,"55.7415,37.6295",0.45038167938931295,0.6041666666666666,0.43568464730290457,0.23178807947019867,0.5842696629213483,0.875,0.4722222222222222,0.5979899497487438,0.5217391304347826
35,35,2,Paveletskaya,Павелецкая,"55.7305,37.6377",0.35877862595419846,0.9999999999999999,0.5518672199170125,0.19205298013245034,0.6741573033707865,0.9270833333333333,0.3611111111111111,0.542713567839196,0.7282608695652173
36,36,2,Avtozavodskaya,Автозаводская,"55.7074,37.6576",0.1297709923664122,0.29166666666666663,0.21161825726141079,0.12582781456953643,0.3932584269662921,0.5208333333333333,0.2638888888888889,0.4120603015075377,0.15217391304347824
37,37,2,Tekhnopark,Технопарк,"55.6950,37.6641",0.030534351145038167,0.020833333333333336,0.13692946058091285,0.033112582781456956,0.20224719101123595,0.25,0.041666666666666664,0.3115577889447236,0.06521739130434781
38,38,2,Kolomenskaya,Коломенская,"55.6785,37.6638",0.0916030534351145,0.09374999999999999,0.14937759336099585,0.046357615894039736,0.21348314606741572,0.3489583333333333,0.41666666666666663,0.37185929648241206,0.17391304347826086
39,39,2,Kashirskaya,Каширская,"55.6551,37.6487",0.030534351145038167,0.15625,0.09958506224066391,0.046357615894039736,0.0898876404494382,0.29166666666666663,0.05555555555555555,0.16080402010050251,0.04347826086956522
40,40,2,Kantemirovskaya,Кантемировская,"55.6358,37.6564",0.022900763358778626,0.08333333333333333,0.08713692946058092,0.039735099337748346,0.23595505617977527,0.234375,0.3194444444444444,0.34673366834170855,0.08695652173913043
41,41,2,Tsaritsyno,Царицыно,"55.6214,37.6694",0.030534351145038167,0.03125,0.09543568464730291,0.046357615894039736,0.20224719101123595,0.18229166666666666,0.18055555555555555,0.21105527638190955,0.11956521739130435
42,42,2,Orekhovo,Орехово,"55.6132,37.6949",0.04580152671755725,0.07291666666666666,0.016597510373443983,0.019867549668874173,0.2247191011235955,0.21354166666666666,0.2222222222222222,0.15577889447236182,0.13043478260869565
43,43,2,Domodedovskaya,Домодедовская,"55.6108,37.7186",0.030534351145038167,0.052083333333333336,0.1950207468879668,0.033112582781456956,0.1797752808988764,0.2708333333333333,0.375,0.41708542713567837,0.09782608695652173
44,44,2,Krasnogvardeyskaya,Красногвардейская,"55.6137,37.7444",0.030534351145038167,0.06249999999999999,0.11203319502074689,0.026490066225165563,0.23595505617977527,0.22395833333333331,0.4861111111111111,0.3417085427135678,0.09782608695652173
45,45,2,Alma-Atinskaya,Алма-Атинская,"55.6326,37.7660",0.030534351145038167,0.06249999999999999,0.06224066390041494,0.026490066225165563,0.10112359550561797,0.140625,0.25,0.3366834170854271,0.03260869565217391
46,46,3,Pyatnitskoye Shosse,Пятницкое шоссе,"55.8563,37.3544",0.015267175572519083,0.06249999999999999,0.058091286307053944,0.026490066225165563,0.21348314606741572,0.26041666666666663,0.3611111111111111,0.3316582914572864,0.05434782608695652
47,47,3,Mitino,Митино,"55.8457,37.3622",0.03816793893129771,0.07291666666666666,0.09128630705394192,0.039735099337748346,0.348314606741573,0.2708333333333333,0.4583333333333333,0.3969849246231156,0.13043478260869565
48,48,3,Volokolamskaya,Волоколамская,"55.8354,37.3822",0.04580152671755725,0.03125,0.049792531120331954,0.052980132450331126,0.15730337078651685,0.22395833333333331,0.18055555555555555,0.22110552763819097,0.05434782608695652
49,49,3,Myakinino,Мякинино,"55.8252,37.3852",0.07633587786259542,0.07291666666666666,0.16182572614107882,0.026490066225165563,0.1797752808988764,0.08333333333333333,0.1388888888888889,0.3517587939698492,0.04347826086956522
50,50,3,Strogino,Строгино,"55.8038,37.4031",0.03816793893129771,0.15625,0.11618257261410787,0.039735099337748346,0.2921348314606741,0.38541666666666663,0.38888888888888884,0.35678391959798994,0.21739130434782608
51,51,3,Krylatskoye,Крылатское,"55.7567,37.4081",0.03816793893129771,0.13541666666666666,0.11618257261410787,0.026490066225165563,0.3258426966292135,0.390625,0.5555555555555556,0.4422110552763819,0.04347826086956522
52,52,3,Molodyozhnaya,Молодёжная,"55.7408,37.4168",0.061068702290076333,0.3020833333333333,0.14937759336099585,0.033112582781456956,0.3258426966292135,0.375,0.5,0.5125628140703518,0.09782608695652173
53,53,3,Kuntsevskaya,Кунцевская,"55.7307,37.4459",0.07633587786259542,0.06249999999999999,0.041493775933609964,0.033112582781456956,0.4044943820224719,0.34375,0.2638888888888889,0.27638190954773867,0.14130434782608695
54,54,3,Slavyansky Bulvar,Славянский бульвар,"55.7296,37.4706",0.022900763358778626,0.07291666666666666,0.13692946058091285,0.026490066225165563,0.23595505617977527,0.33854166666666663,0.4444444444444444,0.38190954773869346,0.04347826086956522
55,55,3,Park Pobedy,Парк Победы,"55.7362,37.5182",0.08396946564885496,0.16666666666666666,0.16182572614107882,0.039735099337748346,0.3146067415730337,0.5,0.29166666666666663,0.20603015075376885,0.14130434782608695
56,56,3,Kiyevskaya,Киевская,"55.7442,37.5645",0.22900763358778625,0.21875,0.3983402489626556,0.17218543046357615,0.5280898876404494,0.5520833333333333,0.8194444444444444,0.7889447236180904,0.5652173913043478
57,57,3,Smolenskaya,Смоленская,"55.7474,37.5823",0.46564885496183206,0.26041666666666663,0.4771784232365145,0.2119205298013245,0.595505617977528,0.875,1.0,0.5326633165829145,0.5652173913043478
58,58,3,Arbatskaya,Арбатская,"55.7522,37.6061",0.9541984732824427,0.7395833333333334,0.5767634854771785,0.304635761589404,0.7528089887640449,0.9270833333333333,0.5833333333333333,0.6331658291457286,0.7608695652173912
59,59,3,Ploshchad Revolyutsii,Площадь Революции,"55.7566,37.6216",0.7709923664122137,0.8020833333333334,0.8174273858921163,0.7086092715231788,0.8876404494382022,0.8854166666666666,0.19444444444444442,0.9095477386934673,0.8043478260869564
60,60,3,Kurskaya,Курская,"55.7576,37.6577",0.564885496183206,0.8645833333333334,0.4854771784232365,0.31788079470198677,0.8202247191011236,0.7760416666666666,0.5138888888888888,0.8241206030150754,0.7717391304347826
61,61,3,Baumanskaya,Бауманская,"55.7730,37.6806",0.32061068702290074,0.8958333333333334,0.24481327800829872,0.17880794701986755,0.5730337078651685,0.765625,0.25,0.4773869346733668,0.27173913043478265
62,62,3,Elektrozavodskaya,Электрозаводская,"55.7817,37.7037",0.22900763358778625,0.49999999999999994,0.24896265560165975,0.06622516556291391,0.24719101123595502,0.59375,0.2361111111111111,0.5125628140703518,0.10869565217391303
63,63,3,Semyonovskaya,Семёновская,"55.7833,37.7208",0.12213740458015267,0.7083333333333334,0.22821576763485477,0.10596026490066225,0.2584269662921348,0.46875,0.18055555555555555,0.4974874371859296,0.09782608695652173
64,64,3,Partizanskaya,Партизанская,"55.7886,37.7506",0.09923664122137404,0.08333333333333333,0.14107883817427386,0.046357615894039736,0.21348314606741572,0.23958333333333331,0.09722222222222221,0.22613065326633167,0.13043478260869565
65,65,3,Izmaylovskaya,Измайловская,"55.7878,37.7814",0.030534351145038167,0.35416666666666663,0.06639004149377593,0.033112582781456956,0.1348314606741573,0.25,0.09722222222222221,0.3366834170854271,0.03260869565217391
66,66,3,Pervomayskaya,Первомайская,"55.7948,37.7993",0.0916030534351145,0.5625,0.12448132780082989,0.0728476821192053,0.3258426966292135,0.44791666666666663,0.18055555555555555,0.38190954773869346,0.09782608695652173
67,67,3,Shchyolkovskaya,Щёлковская,"55.8094,37.7986",0.030534351145038167,0.15625,0.1037344398340249,0.026490066225165563,0.20224719101123595,0.22395833333333331,0.3333333333333333,0.3618090452261306,0.14130434782608695
68,68,4,Kuntsevskaya,Кунцевская,"55.7307,37.4459",0.07633587786259542,0.06249999999999999,0.041493775933609964,0.033112582781456956,0.4044943820224719,0.34375,0.2638888888888889,0.27638190954773867,0.14130434782608695
69,69,4,Pionerskaya,Пионерская,"55.7360,37.4671",0.015267175572519083,0.07291666666666666,0.04564315352697096,0.033112582781456956,0.3370786516853932,0.27604166666666663,0.2361111111111111,0.12060301507537688,0.03260869565217391
70,70,4,Filyovsky Park,Филёвский парк,"55.7396,37.4833",0.015267175572519083,0.11458333333333333,0.07883817427385892,0.033112582781456956,0.23595505617977527,0.3020833333333333,0.2222222222222222,0.32160804020100503,0.08695652173913043
71,71,4,Bagrationovskaya,Багратионовская,"55.7438,37.4977",0.07633587786259542,0.14583333333333334,0.16182572614107882,0.052980132450331126,0.3820224719101123,0.4114583333333333,0.2638888888888889,0.457286432160804,0.16304347826086954
72,72,4,Fili,Фили,"55.7460,37.5150",0.07633587786259542,0.24999999999999997,0.1950207468879668,0.052980132450331126,0.2247191011235955,0.40625,0.2361111111111111,0.36683417085427134,0.14130434782608695
73,73,4,Kutuzovskaya,Кутузовская,"55.7399,37.5344",0.10687022900763359,0.32291666666666663,0.24896265560165975,0.07947019867549669,0.3033707865168539,0.6979166666666666,0.375,0.4371859296482412,0.23913043478260868
74,74,4,Studencheskaya,Студенческая,"55.7388,37.5483",0.07633587786259542,0.21875,0.11203319502074689,0.052980132450331126,0.24719101123595502,0.4739583333333333,0.375,0.4371859296482412,0.27173913043478265
75,75,4,Mezhdunarodnaya,Международная,"55.7483,37.5339",0.15267175572519084,0.3020833333333333,0.27800829875518673,0.09933774834437085,0.3595505617977528,0.7708333333333333,0.25,0.6432160804020101,0.3804347826086957
76,76,4,Vystavochnaya,Выставочная,"55.7502,37.5408",0.16030534351145037,0.23958333333333334,0.2821576763485477,0.12582781456953643,0.4831460674157303,0.765625,0.4444444444444444,0.7085427135678392,0.41304347826086957
77,77,4,Kiyevskaya,Киевская,"55.7436,37.5655",0.23664122137404578,0.23958333333333334,0.43568464730290457,0.19205298013245034,0.5617977528089887,0.6145833333333333,0.861111111111111,0.7889447236180904,0.5217391304347826
78,78,4,Smolenskaya,Смоленская,"55.7488,37.5825",0.549618320610687,0.37499999999999994,0.4605809128630705,0.23841059602649006,0.6179775280898876,0.859375,0.986111111111111,0.5326633165829145,0.5760869565217391
79,79,4,Arbatskaya,Арбатская,"55.7518,37.6007",0.9923664122137404,0.7916666666666666,0.6556016597510373,0.3443708609271523,0.8089887640449438,0.921875,0.7222222222222222,0.5025125628140703,0.7608695652173912
80,80,4,Aleksandrovsky Sad,Александровский сад,"55.7525,37.6085",0.9236641221374046,0.7604166666666666,0.6016597510373445,0.31788079470198677,0.797752808988764,0.9583333333333333,0.5,0.7035175879396984,0.7826086956521738
81,81,5,Kiyevskaya,Киевская,"55.7446,37.5644",0.22900763358778625,0.20833333333333334,0.3651452282157676,0.16556291390728478,0.5168539325842696,0.5572916666666666,0.8333333333333333,0.7839195979899497,0.5652173913043478
82,82,5,Krasnopresnenskaya,Краснопресненская,"55.7613,37.5774",0.45038167938931295,0.43749999999999994,0.45228215767634855,0.2913907284768212,0.6741573033707865,0.9114583333333333,0.6944444444444444,0.5979899497487438,0.33695652173913043
83,83,5,Belorusskaya,Белорусская,"55.7764,37.5844",0.3893129770992366,0.6145833333333334,0.5892116182572614,0.32450331125827814,0.4831460674157303,0.875,0.736111111111111,0.7035175879396984,0.6413043478260869
84,84,5,Novoslobodskaya,Новослободская,"55.7799,37.6028",0.3893129770992366,0.6979166666666666,0.45643153526970953,0.33112582781456956,0.6292134831460674,0.828125,0.5416666666666666,0.6281407035175879,0.3804347826086957
85,85,5,Prospekt Mira,Проспект Мира,"55.7798,37.6318",0.23664122137404578,0.24999999999999997,0.3153526970954357,0.16556291390728478,0.5056179775280898,0.875,0.5416666666666666,0.5577889447236181,0.3695652173913044
86,86,5,Komsomolskaya,Комсомольская,"55.7748,37.6549",0.21374045801526717,0.31249999999999994,0.36099585062240663,0.15894039735099338,0.4269662921348314,0.78125,0.3472222222222222,0.4472361809045226,0.9565217391304347
87,87,5,Kurskaya,Курская,"55.7570,37.6595",0.5343511450381679,0.875,0.42323651452282157,0.32450331125827814,0.7303370786516854,0.7916666666666666,0.41666666666666663,0.8090452261306532,0.6956521739130435
